,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
229,Guaita,Crystal Palace,1,2.1,44,2250,508421,21.4,94,Goalkeeper,21.4
230,Tomkins,Crystal Palace,2,1,39,244,164958,2.1,8,Defender,2.1
231,McArthur,Crystal Palace,3,0,48,9,823,0.2,1,Midfielder,0.2
233,Ward,Crystal Palace,2,0.2,44,1293,64980,9.5,42,Defender,9.5
234,Clyne,Crystal Palace,2,0.2,45,1475,19794,7.8,35,Defender,7.8
235,Milivojevic,Crystal Palace,3,0.3,42,284,54569,3.3,14,Midfielder,3.3
236,Ayew,Crystal Palace,3,0.2,53,1747,44070,10.9,58,Midfielder,10.9
237,Zaha,Crystal Palace,3,7.3,72,1751,3888830,11,79,Midfielder,11
238,Schlupp,Crystal Palace,3,0.1,47,1788,18081,11.7,55,Midfielder,11.7
239,Hughes,Crystal Palace,3,0,48,378,1631,3.1,15,Midfielder,3.1
240,Riedewald,Crystal Palace,3,0,43,46,5364,0.9,4,Midfielder,0.9
241,Andersen,Crystal Palace,2,1.5,45,1747,420619,11.6,52,Defender,11.6
242,Edouard,Crystal Palace,4,1.9,50,1114,757704,10.2,51,Forward,10.2
243,Guéhi,Crystal Palace,2,1.1,44,2160,400708,12.7,56,Defender,12.7
244,Mateta,Crystal Palace,4,0.4,51,669,89128,5.3,27,Forward,5.3
245,Eze,Crystal Palace,3,2.1,54,1668,1023471,16.5,89,Midfielder,16.5
246,Mitchell,Crystal Palace,2,0.7,44,1719,138736,13.4,59,Defender,13.4
247,Olise,Crystal Palace,3,0.5,54,1604,113964,15,81,Midfielder,15
249,Ebiowei,Crystal Palace,3,0.2,42,31,73938,0.7,3,Midfielder,0.7
254,Doucouré,Crystal Palace,3,0.1,50,1888,20058,9.6,48,Midfielder,9.6
255,Richards,Crystal Palace,2,0.1,44,353,3015,2.7,12,Defender,2.7
263,Ozoh,Crystal Palace,3,0,45,1,231,0.2,1,Midfielder,0.2
264,Ahamada,Crystal Palace,3,0,45,39,448,0.7,3,Midfielder,0.7
265,Maupay,Everton,4,0.7,59,933,194431,5.6,33,Forward,5.6
266,Begović,Everton,1,0.9,39,90,145074,2.3,9,Goalkeeper,2.3
267,Rondón,Everton,4,0.4,49,103,104601,1.4,7,Forward,1.4
268,Coleman,Everton,2,1.2,44,1274,187122,12.3,54,Defender,12.3
270,Keane,Everton,2,0.3,42,202,14786,1.4,6,Defender,1.4
271,Alli,Everton,3,0.1,53,38,7054,0.4,2,Midfielder,0.4
272,Pickford,Everton,1,6,44,2250,804880,17.5,77,Goalkeeper,17.5
275,Doucouré,Everton,3,0.1,53,750,9522,5.3,28,Midfielder,5.3
276,Iwobi,Everton,3,2,54,2299,584375,16.3,88,Midfielder,16.3
278,Mina,Everton,2,0.1,43,234,12772,3,13,Defender,3
279,Gray,Everton,3,0.6,53,1845,200410,13.8,73,Midfielder,13.8
280,Davies,Everton,3,0,49,456,4455,3.1,15,Midfielder,3.1
281,Calvert-Lewin,Everton,4,0.3,79,729,159354,3.2,25,Forward,3.2
282,Holgate,Everton,2,0.1,43,364,8455,2.8,12,Defender,2.8
283,Godfrey,Everton,2,0,43,330,4416,0.9,4,Defender,0.9
284,Mykolenko,Everton,2,1,43,2138,269991,14,60,Defender,14
286,Patterson,Everton,2,2.7,39,986,1256810,6.2,24,Defender,6.2
288,Tarkowski,Everton,2,6.7,44,2340,1199174,15.9,70,Defender,15.9
289,Coady,Everton,2,4.1,49,1970,952006,14.3,70,Defender,14.3
290,Nascimento Vinagre,Everton,2,0,43,24,1796,0.5,2,Defender,0.5
291,McNeil,Everton,3,0.3,51,1410,73651,11.6,59,Midfielder,11.6
294,Garner,Everton,3,0,45,137,12064,1.1,5,Midfielder,1.1
295,Onana,Everton,3,0.2,48,1895,64136,12.3,59,Midfielder,12.3
297,Gueye,Everton,3,0.1,49,1626,15679,9.2,45,Midfielder,9.2
300,Cannon,Everton,4,0,45,23,5956,0.4,2,Forward,0.4
302,Simms,Everton,4,0.1,45,98,16884,1.3,6,Forward,1.3
303,Alves Soares,Fulham,2,0.1,42,36,8128,1,4,Defender,1
304,Leno,Fulham,1,3.4,45,2160,486827,22.4,101,Goalkeeper,22.4
305,Duffy,Fulham,2,0.1,43,4,5038,0.9,4,Defender,0.9
306,Cairney,Fulham,3,0,47,455,4408,5.3,25,Midfielder,5.3
307,Ream,Fulham,2,3.3,46,2337,552051,18.9,87,Defender,18.9
309,Chalobah,Fulham,3,0.1,44,11,11139,0.2,1,Midfielder,0.2
310,Kebano,Fulham,3,0.1,54,711,11557,6.5,35,Midfielder,6.5
311,De Cordova-Reid,Fulham,3,0.2,55,1972,70041,13.6,75,Midfielder,13.6
315,Adarabioyo,Fulham,2,0.1,44,1094,29891,6.8,30,Defender,6.8
316,Mitrović,Fulham,4,17.8,67,1726,7659424,13.1,88,Forward,13.1
317,Reed,Fulham,3,0.6,44,2044,289672,15.9,70,Midfielder,15.9
318,Wilson,Fulham,3,0.1,57,426,11321,4,23,Midfielder,4
319,Rodák,Fulham,1,0.2,43,180,16951,1.6,7,Goalkeeper,1.6
321,Tete,Fulham,2,0.6,44,1679,139944,14.3,63,Defender,14.3
322,Onomah,Fulham,3,0.1,43,14,14661,0.5,2,Midfielder,0.5
323,Robinson,Fulham,2,0.5,44,2008,91879,15.9,70,Defender,15.9
325,Stansfield,Fulham,4,0.7,45,85,324797,1.6,7,Forward,1.6
326,Palhinha Gonçalves,Fulham,3,0.3,49,2135,78922,13.5,66,Midfielder,13.5
327,James,Fulham,3,0.2,60,549,34168,4.2,25,Midfielder,4.2
328,Hoelgebaum Pereira,Fulham,3,15.9,44,2169,3018634,22.3,98,Midfielder,22.3
329,Diop,Fulham,2,0.4,43,1414,84980,14.4,62,Defender,14.4
330,Francois,Fulham,3,0,44,1,1528,0.2,1,Midfielder,0.2
331,Mbabu,Fulham,2,0.1,43,141,11275,1.6,7,Defender,1.6
